pdf_name,page,oare_id,link_sim,src_sentence,tgt_sentence
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2011 (preprint).pdf",43,04d757de-27d8-42e3-8ad7-13c929511e0b,0.2519914224169318,POLITICAL HISTORY\n35\nrē’ī and in KTP 10 are linked,"Barjamovic, G., Hertel, T."
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2011 (preprint).pdf",43,04d757de-27d8-42e3-8ad7-13c929511e0b,0.2519914224169318,but\ntheir apparent proximity in time indicates that they were all related. One important group\nof sources for this ‘great western war’ comes from the archives of Šalim-Aššur excavated\nin 1994. A number of texts dating to the active career of Ennam-Aššur son of Šalim-\nAššur refer to the conflict,2011 (preprint).pdf  44      CHAPTER 2\n36\nto the army of Wahšušana being ...
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2011 (preprint).pdf",43,04d757de-27d8-42e3-8ad7-13c929511e0b,0.2519914224169318,and the fact that Ennam-Aššur died in REL 105-106 gives us a\nterminus ante quem for the events.113 In kt 94/k 1406 we are told that travellers from\nWahšušana are held back from going to Šalatuwar,44      CHAPTER 2\n36\nto the army of Wahšušana being ...
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2012 (preprint).pdf",43,04d757de-27d8-42e3-8ad7-13c929511e0b,0.2519914224169318,POLITICAL HISTORY\n35\nrē’ī and in KTP 10 are linked,"Barjamovic, G., Hertel, T."
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2012 (preprint).pdf",43,04d757de-27d8-42e3-8ad7-13c929511e0b,0.2519914224169318,but\ntheir apparent proximity in time indicates that they were all related. One important group\nof sources for this ‘great western war’ comes from the archives of Šalim-Aššur excavated\nin 1994. A number of texts dating to the active career of Ennam-Aššur son of Šalim-\nAššur refer to the conflict,2012 (preprint).pdf  44      CHAPTER 2\n36\nto the army of Wahšušana being ...
"Barjamovic, G., Hertel, T. & M. Larsen - Ups and Downs. 2012 (preprint).pdf",43,04d757de-27d8-42e3-8ad7-13c929511e0b,0.2519914224169318,and the fact that Ennam-Aššur died in REL 105-106 gives us a\nterminus ante quem for the events.113 In kt 94/k 1406 we are told that travellers from\nWahšušana are held back from going to Šalatuwar,44      CHAPTER 2\n36\nto the army of Wahšušana being ...
"Barjamovic, Gojko - A Historical Geography of Anatolia in the Old Assyrian Colony Period. CNIP 38, 2011.pdf",142,90e042f9-588b-c930-d5f8-f627c9de77c0,0.2745305355304069,4.3 TEGARAMA\nimplies that Kussara was located further away from Mamma than Tegarama,"Barjamovic, Gojko - A Historical Geography of Anatolia in the Old Assyrian Colony Period."
"Barjamovic, Gojko - A Historical Geography of Anatolia in the Old Assyrian Colony Period. CNIP 38, 2011.pdf",142,90e042f9-588b-c930-d5f8-f627c9de77c0,0.2745305355304069,though not nec-\nessarily on a direct route.\nThe final text connecting Mamma and Tegarama is a highly complex letter,"CNIP 38, 2011.pdf  141     CHAPTER 4:"
"Barjamovic, Gojko - A Historical Geography of Anatolia in the Old Assyrian Colony Period. CNIP 38, 2011.pdf",142,90e042f9-588b-c930-d5f8-f627c9de77c0,0.2745305355304069,which is trans-\nlated here in its entirety in order to convey the extraordinary situation that led to the author's\njourney between the two cities:\nTo Assur-ennam from Salim-Assur. Out of the 114 textiles that you entrusted to me in\nAssur,THE LANDS EAST OF KANES\nThe purpos...
"Barjamovic, Gojko - A Historical Geography of Anatolia in the Old Assyrian Colony Period. CNIP 38, 2011.pdf",142,90e042f9-588b-c930-d5f8-f627c9de77c0,0.2745305355304069,2 'hand-textiles' were sorted out as ordinary quality. Out of the (remainder),141     CHAPTER 4:
